id_cliente,zona,pais,tipo_de_producto,canal_de_venta,prioridad,fecha_pedido,id_pedido,fecha_envio,unidades,precio_unitario,coste_unitario,importe_venta_total,importe_coste_total
c5795,africa,mozambique,bebida,online,baja,44160,579580581,44177,9628,47.45,31.79,456848.60000000003,306074.12
c7783,centroamerica y caribe,saint kitts and nevis,carnicos,online,critica,44435,778371751,44442,6353,421.89,364.69,2680267.17,2316875.57
c2335,africa,rwanda,verduras,offline,media,44393,233567035,44425,6531,154.06,90.93,1006165.86,593863.8300000001
c8686,africa,rwanda,bebida,online,alta,44858,868652760,44903,2510,47.45,31.79,119099.5,79792.9
c1774,europa,moldova,verduras,offline,baja,44188,177427756,44227,3671,154.06,90.93,565554.26,333804.03
c6740,europa,austria,cereales,offline,baja,44022,674003350,44042,1424,205.7,117.11,292916.8,166764.63999999998
c4428,europa,spain,ropa,offline,baja,44577,442803370,44610,4212,109.28,35.84,460287.36,150958.08000000002
c7885,asia,china,alimento infantil,online,critica,44131,788564145,44166,2509,255.28,159.42,640497.52,399984.77999999997
c3863,africa,qatar,cosmeticos,online,media,44763,386334502,44784,3819,437.2,263.33,1669666.8,1005657.2699999999
c2314,europa,georgia,cuidado personal,online,critica,44522,231475770,44523,7679,81.73,56.67,627604.67,435168.93
c4896,asia,kazakhstan,domestico,online,media,44214,489661777,44238,656,668.27,502.54,438385.12,329666.24
c9468,africa,namibia,cuidado personal,offline,baja,44791,946878850,44839,1348,81.73,56.67,110172.04000000001,76391.16
c5594,centroamerica y caribe,jamaica,carnicos,offline,baja,44743,559425818,44765,5386,421.89,364.69,2272299.54,1964220.34
c6039,africa,syria,verduras,offline,media,44795,603914010,44805,431,154.06,90.93,66399.86,39190.83
c6272,africa,tanzania,frutas,offline,critica,44251,627267253,44263,1174,9.33,6.92,10953.42,8124.08
c6967,africa,angola,alimento infantil,online,alta,44652,696721875,44693,4340,255.28,159.42,1107915.2,691882.7999999999
c9498,asia,china,cuidado personal,offline,baja,44030,949826705,44080,3684,81.73,56.67,301093.32,208772.28
c2444,europa,hungary,cuidado personal,offline,baja,44742,244443070,44745,4991,81.73,56.67,407914.43,282839.97000000003
c2087,europa,norway,domestico,offline,alta,44590,208744800,44595,1080,668.27,502.54,721731.6,542743.2000000001
c2912,australia y oceania,australia,carnicos,offline,critica,44660,291218221,44683,6798,421.89,364.69,2868008.2199999997,2479162.62
c9106,africa,nigeria,domestico,offline,media,44614,910662162,44625,4025,668.27,502.54,2689786.75,2022723.5
c3061,asia,thailand,material de oficina,online,media,44264,306187951,44303,6674,651.21,524.96,4346175.54,3503583.04
c3872,asia,taiwan,frutas,offline,alta,44090,387219417,44101,5685,9.33,6.92,53041.05,39340.2
c8834,asia,india,verduras,online,baja,44717,883492887,44717,4033,154.06,90.93,621323.98,366720.69
c6950,europa,romania,bebida,offline,baja,44310,695057189,44324,1723,47.45,31.79,81756.35,54774.17
c1422,australia y oceania,east timor,cosmeticos,online,baja,44309,142273652,44332,790,437.2,263.33,345388,208030.69999999998
c5158,europa,bosnia and herzegovina,cereales,online,baja,44740,515816104,44779,303,205.7,117.11,62327.1,35484.33
c9266,europa,ireland,cuidado personal,offline,baja,44726,926670873,44759,1359,81.73,56.67,111071.07,77014.53
c5561,europa,croatia,domestico,online,baja,44062,556136786,44079,2089,668.27,502.54,1396016.03,1049806.06
c9058,africa,iraq,alimento infantil,online,baja,44779,905825173,44795,2653,255.28,159.42,677257.84,422941.25999999995
c8476,europa,malta,material de oficina,online,critica,44354,847659862,44399,245,651.21,524.96,159546.45,128615.20000000001
c6738,europa,ireland,carnicos,offline,baja,44587,673877179,44613,4087,421.89,364.69,1724264.43,1490488.03
c7470,africa,madagascar,alimento infantil,online,baja,44818,747025954,44846,435,255.28,159.42,111046.8,69347.7
c1499,europa,austria,cosmeticos,online,media,44531,149967515,44557,7575,437.2,263.33,3311790,1994724.7499999998
c7358,africa,sierra leone,cuidado personal,offline,critica,43878,735875689,43915,824,81.73,56.67,67345.52,46696.08
c3782,europa,netherlands,material de oficina,online,critica,44205,378236806,44245,7531,651.21,524.96,4904262.510000001,3953473.7600000002
c6208,europa,croatia,cosmeticos,offline,alta,44392,620849692,44395,2075,437.2,263.33,907190,546409.75
c8278,centroamerica y caribe,trinidad and tobago,snacks,offline,baja,44511,827825677,44519,869,152.58,97.44,132592.02000000002,84675.36
c4335,asia,south korea,domestico,offline,critica,44260,433588588,44283,7353,668.27,502.54,4913789.31,3695176.62
c2928,australia y oceania,samoa,carnicos,offline,alta,44524,292874753,44555,7003,421.89,364.69,2954495.67,2553924.07
c4307,europa,albania,material de oficina,offline,baja,44773,430733001,44775,2322,651.21,524.96,1512109.62,1218957.12
c4925,africa,cape verde,frutas,online,media,44623,492524659,44645,7846,9.33,6.92,73203.18000000001,54294.32
c1939,europa,italy,bebida,online,baja,44356,193923556,44367,5145,47.45,31.79,244130.25000000003,163559.55
c6709,europa,hungary,bebida,offline,baja,44403,670916020,44410,7815,47.45,31.79,370821.75,248438.85
c4298,asia,maldives,alimento infantil,offline,critica,44821,429800879,44853,6486,255.28,159.42,1655746.08,1033998.1199999999
c2971,africa,mali,domestico,offline,alta,44767,297189462,44792,3821,668.27,502.54,2553459.67,1920205.34
c2700,africa,yemen,cuidado personal,online,media,44069,270005595,44078,9511,81.73,56.67,777334.03,538988.37
c8654,asia,north korea,snacks,offline,baja,44788,865485608,44814,5279,152.58,97.44,805469.8200000001,514385.76
c8711,asia,uzbekistan,cereales,offline,alta,44436,871178328,44436,9882,205.7,117.11,2032727.4,1157281.02
c4949,europa,latvia,verduras,online,baja,44846,494945085,44871,4104,154.06,90.93,632262.24,373176.72000000003
c9149,asia,singapore,snacks,offline,critica,44345,914959704,44371,5764,152.58,97.44,879471.1200000001,561644.16
c2297,europa,lithuania,domestico,online,baja,44537,229708516,44584,4709,668.27,502.54,3146883.4299999997,2366460.86
c2079,africa,senegal,bebida,offline,alta,44565,207990348,44581,7821,47.45,31.79,371106.45,248629.59
c4389,africa,south sudan,verduras,offline,critica,44762,438916528,44791,4009,154.06,90.93,617626.54,364538.37000000005
c5819,europa,bulgaria,alimento infantil,online,alta,44042,581910884,44059,9217,255.28,159.42,2352915.7600000002,1469374.14
c8167,africa,seychelles,carnicos,offline,alta,44596,816709744,44621,1417,421.89,364.69,597818.13,516765.73
c4933,centroamerica y caribe,saint kitts and nevis,domestico,online,alta,44067,493361937,44103,5616,668.27,502.54,3753004.32,2822264.64
c3822,centroamerica y caribe,saint vincent and the grenadines,alimento infantil,offline,alta,44418,382228791,44465,8848,255.28,159.42,2258717.44,1410548.16
c4239,europa,andorra,cosmeticos,offline,baja,44106,423984134,44149,5182,437.2,263.33,2265570.4,1364576.0599999998
c1796,africa,mali,carnicos,offline,critica,44868,179614293,44888,716,421.89,364.69,302073.24,261118.04
c1804,africa,togo,cuidado personal,offline,media,43887,180418097,43905,8579,81.73,56.67,701161.67,486171.93
c5780,asia,thailand,carnicos,offline,alta,44759,578006875,44794,3934,421.89,364.69,1659715.26,1434690.46
c6943,europa,moldova,domestico,online,alta,44440,694304454,44448,8972,668.27,502.54,5995718.4399999995,4508788.88
c3715,centroamerica y caribe,trinidad and tobago,alimento infantil,online,alta,44210,371547162,44250,7917,255.28,159.42,2021051.76,1262128.14
c4222,asia,japan,bebida,online,media,43927,422283828,43947,2024,47.45,31.79,96038.8,64342.96
c3793,africa,central african republic,cereales,offline,critica,44643,379375779,44643,4578,205.7,117.11,941694.6,536129.58
c7459,africa,azerbaijan,cuidado personal,online,baja,43901,745996844,43924,5899,81.73,56.67,482125.27,334296.33
c7456,africa,mauritania,frutas,offline,baja,44612,745633351,44654,8333,9.33,6.92,77746.89,57664.36
c5720,europa,portugal,snacks,offline,media,44090,572084128,44140,1261,152.58,97.44,192403.38,122871.84
c9394,africa,liberia,bebida,online,baja,43973,939460504,43975,6095,47.45,31.79,289207.75,193760.05
c8321,africa,south sudan,frutas,online,alta,44481,832186305,44526,1276,9.33,6.92,11905.08,8829.92
c6549,africa,cameroon,frutas,online,baja,43889,654997861,43923,7277,9.33,6.92,67894.41,50356.84
c8829,centroamerica y caribe,cuba,carnicos,online,baja,44278,882943999,44293,1605,421.89,364.69,677133.45,585327.45
c7113,africa,malawi,frutas,online,baja,44739,711386048,44788,3795,9.33,6.92,35407.35,26261.4
c3059,australia y oceania,tuvalu,bebida,offline,baja,43991,305997836,44022,415,47.45,31.79,19691.75,13192.85
c3527,africa,burundi,carnicos,offline,alta,44031,352765691,44054,62,421.89,364.69,26157.18,22610.78
c7079,africa,liberia,verduras,online,critica,44392,707988440,44416,8367,154.06,90.93,1289020.02,760811.31
c8482,asia,turkmenistan,verduras,offline,media,44755,848277413,44802,2992,154.06,90.93,460947.52,272062.56
c3205,africa,uganda,domestico,online,media,44424,320556437,44464,8628,668.27,502.54,5765833.56,4335915.12
c9920,africa,lebanon,alimento infantil,online,alta,43896,992061841,43914,1999,255.28,159.42,510304.72000000003,318680.57999999996
c3003,europa,switzerland,material de oficina,online,media,44336,300342452,44371,6861,651.21,524.96,4467951.8100000005,3601750.56
c7032,africa,kuwait,verduras,online,alta,43923,703259599,43926,8998,154.06,90.93,1386231.8800000001,818188.14
c2289,asia,india,ropa,offline,alta,44637,228987109,44665,1229,109.28,35.84,134305.12,44047.36
c1260,africa,angola,cereales,online,critica,44430,126011312,44457,8402,205.7,117.11,1728291.4,983958.22
c8131,asia,uzbekistan,bebida,offline,critica,44010,813131034,44013,2397,47.45,31.79,113737.65000000001,76200.63
c5294,europa,latvia,cuidado personal,offline,critica,44232,529457604,44260,7126,81.73,56.67,582407.98,403830.42
c2844,africa,ghana,carnicos,offline,media,44532,284414851,44537,3530,421.89,364.69,1489271.7,1287355.7
c7077,europa,poland,bebida,online,critica,44491,707739102,44497,4583,47.45,31.79,217463.35,145693.57
c6994,asia,mongolia,cosmeticos,online,baja,44362,699479186,44402,290,437.2,263.33,126788,76365.7
c5799,asia,vietnam,cereales,online,critica,44543,579996430,44570,2687,205.7,117.11,552715.9,314674.57
c7399,europa,united kingdom,cereales,online,baja,44011,739964663,44039,842,205.7,117.11,173199.4,98606.62
c2903,australia y oceania,vanuatu,ropa,offline,baja,43982,290370213,43997,5854,109.28,35.84,639725.12,209807.36000000002
c2125,africa,ethiopia,frutas,online,baja,44249,212511909,44249,5851,9.33,6.92,54589.83,40488.92
c2080,africa,niger,frutas,online,critica,44755,208001077,44764,996,9.33,6.92,9292.68,6892.32
c9487,africa,central african republic,cuidado personal,offline,alta,44021,948761546,44025,8480,81.73,56.67,693070.4,480561.60000000003
c9270,africa,cape verde,snacks,offline,critica,43848,927029645,43859,7527,152.58,97.44,1148469.6600000001,733430.88
c5053,norteamerica,united states of america,cuidado personal,offline,critica,44618,505354201,44663,4393,81.73,56.67,359039.89,248951.31
c5665,africa,sudan,frutas,offline,critica,44772,566596543,44805,7363,9.33,6.92,68696.79,50951.96
c2639,africa,republic of the congo,material de oficina,offline,critica,44463,263930499,44505,1755,651.21,524.96,1142873.55,921304.8
c1708,australia y oceania,federated states of micronesia,frutas,online,critica,43992,170842397,43992,4917,9.33,6.92,45875.61,34025.64
c9311,africa,south sudan,frutas,offline,baja,44326,931131064,44354,1229,9.33,6.92,11466.57,8504.68
c1089,africa,cape verde,frutas,online,media,44496,108907830,44500,7102,9.33,6.92,66261.66,49145.84
c7385,australia y oceania,palau,domestico,offline,alta,44196,738596522,44245,5979,668.27,502.54,3995586.33,3004686.66
c9749,africa,bahrain,material de oficina,offline,baja,44315,974933469,44359,3333,651.21,524.96,2170482.93,1749691.6800000002
c8429,africa,algeria,material de oficina,offline,media,44320,842967498,44330,1670,651.21,524.96,1087520.7,876683.2000000001
c8880,africa,botswana,cuidado personal,online,critica,44872,888059937,44905,5525,81.73,56.67,451558.25,313101.75
c8258,africa,seychelles,domestico,offline,media,44166,825884616,44199,6466,668.27,502.54,4321033.82,3249423.64
c8924,africa,the gambia,material de oficina,online,alta,44720,892427861,44767,8091,651.21,524.96,5268940.11,4247451.36
c4939,africa,guinea-bissau,material de oficina,online,baja,44502,493988502,44551,1030,651.21,524.96,670746.3,540708.8
c4571,africa,pakistan,verduras,offline,baja,44759,457177865,44784,7945,154.06,90.93,1224006.7,722438.8500000001
c7789,africa,mauritania,carnicos,online,media,44274,778919780,44275,8527,421.89,364.69,3597456.03,3109711.63
c1764,asia,thailand,material de oficina,online,alta,44065,176450574,44082,4501,651.21,524.96,2931096.21,2362844.96
c1373,africa,afghanistan,carnicos,offline,media,44774,137319076,44824,4621,421.89,364.69,1949553.69,1685232.49
c8693,africa,the gambia,ropa,online,baja,44060,869386613,44099,9673,109.28,35.84,1057065.44,346680.32
c8508,africa,oman,carnicos,offline,baja,44424,850827014,44437,7476,421.89,364.69,3154049.64,2726422.44
c8801,africa,burkina faso,snacks,offline,alta,44340,880126607,44354,7876,152.58,97.44,1201720.08,767437.44
c9260,africa,cameroon,ropa,offline,media,43994,926084220,44017,7755,109.28,35.84,847466.4,277939.2
c5778,africa,burkina faso,cereales,online,alta,44763,577811181,44796,6024,205.7,117.11,1239136.8,705470.64
c3947,europa,serbia,snacks,online,alta,44517,394731318,44542,8624,152.58,97.44,1315849.9200000002,840322.5599999999
c5565,africa,mauritius,domestico,offline,critica,44403,556580960,44448,3529,668.27,502.54,2358324.83,1773463.6600000001
c4134,africa,liberia,material de oficina,offline,critica,44152,413408935,44178,5745,651.21,524.96,3741201.45,3015895.2
c7355,europa,latvia,cuidado personal,offline,critica,44684,735576570,44698,2308,81.73,56.67,188632.84,130794.36
c5637,asia,china,ropa,offline,media,44455,563757693,44501,7284,109.28,35.84,795995.52,261058.56000000003
c3589,australia y oceania,new zealand,verduras,online,baja,44157,358938634,44174,6773,154.06,90.93,1043448.38,615868.89
c6524,africa,sierra leone,snacks,online,critica,44107,652418220,44123,3904,152.58,97.44,595672.3200000001,380405.76
c6958,europa,bulgaria,material de oficina,online,critica,44768,695807778,44810,3839,651.21,524.96,2499995.19,2015321.4400000002
c7110,africa,somalia,material de oficina,offline,critica,44140,711031138,44172,8769,651.21,524.96,5710460.49,4603374.24
c5403,europa,spain,bebida,offline,alta,44547,540324628,44586,2919,47.45,31.79,138506.55000000002,92795.01
c9962,europa,cyprus,cereales,offline,media,44804,996237075,44804,7544,205.7,117.11,1551800.7999999998,883477.84
c7116,africa,namibia,ropa,online,media,43873,711629807,43895,5929,109.28,35.84,647921.12,212495.36000000002
c1896,norteamerica,greenland,cereales,offline,alta,44519,189676654,44562,8392,205.7,117.11,1726234.4,982787.12
c4538,africa,rwanda,domestico,online,baja,44431,453863942,44448,7281,668.27,502.54,4865673.87,3658993.74
c7979,centroamerica y caribe,the bahamas,material de oficina,offline,baja,44057,797990500,44096,1977,651.21,524.96,1287442.1700000002,1037845.92
c1361,europa,germany,bebida,online,alta,43990,136167657,44003,3890,47.45,31.79,184580.5,123663.09999999999
c1528,europa,cyprus,bebida,online,critica,44450,152819240,44485,1464,47.45,31.79,69466.8,46540.56
c3526,europa,luxembourg,snacks,online,critica,44757,352681577,44767,5171,152.58,97.44,788991.18,503862.24
c3108,australia y oceania,tuvalu,cereales,online,alta,43857,310803496,43894,2516,205.7,117.11,517541.19999999995,294648.76
c1225,europa,bulgaria,cosmeticos,offline,baja,43977,122546327,44000,3036,437.2,263.33,1327339.2,799469.88
c8535,asia,bangladesh,frutas,offline,alta,43834,853583896,43850,3298,9.33,6.92,30770.34,22822.16
c4899,centroamerica y caribe,el salvador,cuidado personal,offline,alta,44381,489902532,44408,1901,81.73,56.67,155368.73,107729.67
c6878,asia,china,verduras,online,media,44106,687801063,44110,4474,154.06,90.93,689264.4400000001,406820.82
c9238,asia,mongolia,carnicos,online,media,44780,923890817,44790,8678,421.89,364.69,3661161.42,3164779.82
c7450,australia y oceania,solomon islands,frutas,offline,alta,44662,745095622,44708,9207,9.33,6.92,85901.31,63712.44
c2186,africa,mauritania,cosmeticos,offline,baja,44250,218651807,44274,2783,437.2,263.33,1216727.5999999999,732847.3899999999
c3821,asia,south korea,verduras,online,media,44707,382108199,44755,3162,154.06,90.93,487137.72000000003,287520.66000000003
c9933,asia,myanmar,material de oficina,online,baja,44213,993326127,44245,6130,651.21,524.96,3991917.3000000003,3218004.8000000003
c9804,africa,botswana,cereales,offline,baja,44749,980479419,44779,4503,205.7,117.11,926267.1,527346.33
c6920,europa,portugal,snacks,offline,critica,44266,692054402,44275,3131,152.58,97.44,477727.98000000004,305084.64
c5468,europa,spain,verduras,offline,critica,44516,546849906,44541,3894,154.06,90.93,599909.64,354081.42000000004
c5839,africa,cote d'ivoire,bebida,offline,baja,44266,583977258,44311,703,47.45,31.79,33357.35,22348.37
c9128,europa,russia,alimento infantil,online,critica,43995,912860286,44022,4499,255.28,159.42,1148504.72,717230.58
c3632,australia y oceania,federated states of micronesia,ropa,offline,media,44331,363235318,44372,8257,109.28,35.84,902324.96,295930.88
c5351,africa,the gambia,carnicos,offline,alta,44480,535151183,44524,1982,421.89,364.69,836185.98,722815.58
c8489,europa,luxembourg,frutas,offline,alta,44841,848969209,44849,7710,9.33,6.92,71934.3,53353.2
c7953,africa,liberia,frutas,offline,critica,44392,795363223,44438,4507,9.33,6.92,42050.31,31188.44
c3853,africa,burundi,cosmeticos,offline,critica,44348,385319554,44374,3474,437.2,263.33,1518832.8,914808.4199999999
c6001,africa,syria,cereales,offline,alta,44502,600137031,44515,2739,205.7,117.11,563412.2999999999,320764.29
c2414,norteamerica,united states of america,ropa,offline,alta,44797,241426980,44828,2463,109.28,35.84,269156.64,88273.92000000001
c8811,asia,japan,alimento infantil,offline,baja,44797,881113231,44839,9840,255.28,159.42,2511955.2,1568692.7999999998
c1114,asia,laos,frutas,offline,baja,44218,111432111,44241,4093,9.33,6.92,38187.69,28323.56
c9949,europa,germany,verduras,online,critica,44483,994932448,44523,1476,154.06,90.93,227392.56,134212.68000000002
c8144,norteamerica,greenland,cuidado personal,online,critica,44035,814475572,44053,276,81.73,56.67,22557.48,15640.92
c5232,centroamerica y caribe,jamaica,carnicos,offline,alta,44069,523235309,44094,5810,421.89,364.69,2451180.9,2118848.9
c6946,europa,switzerland,verduras,online,media,43843,694697988,43884,5427,154.06,90.93,836083.62,493477.11000000004
c1726,europa,sweden,material de oficina,online,media,44326,172662436,44357,3507,651.21,524.96,2283793.47,1841034.7200000002
c1212,africa,liberia,bebida,online,media,44545,121239984,44574,6460,47.45,31.79,306527,205363.4
c8748,australia y oceania,kiribati,alimento infantil,offline,media,44198,874854457,44200,7730,255.28,159.42,1973314.4,1232316.5999999999
c5882,europa,malta,carnicos,online,media,44171,588242185,44206,2789,421.89,364.69,1176651.21,1017120.41
c1864,asia,philippines,cuidado personal,online,baja,43933,186451995,43980,4144,81.73,56.67,338689.12,234840.48
c2148,africa,comoros,alimento infantil,offline,baja,44143,214845216,44164,6329,255.28,159.42,1615667.12,1008969.1799999999
c3890,europa,liechtenstein,domestico,offline,baja,44041,389095675,44073,912,668.27,502.54,609462.24,458316.48000000004
c9451,africa,lebanon,cereales,online,baja,44058,945189702,44072,1492,205.7,117.11,306904.39999999997,174728.12
c3894,norteamerica,greenland,cereales,offline,critica,44249,389426124,44291,8699,205.7,117.11,1789384.2999999998,1018739.89
c4484,africa,chad,cereales,online,media,44817,448416268,44819,5193,205.7,117.11,1068200.0999999999,608152.23
c2190,europa,macedonia,domestico,offline,baja,44545,219083964,44566,668,668.27,502.54,446404.36,335696.72000000003
c2186,africa,united arab emirates,cosmeticos,offline,alta,44451,218665540,44488,6847,437.2,263.33,2993508.4,1803020.5099999998
c1347,africa,qatar,cereales,offline,alta,44133,134709823,44160,2485,205.7,117.11,511164.5,291018.35
c1750,africa,iraq,verduras,online,alta,44382,175078141,44413,8367,154.06,90.93,1289020.02,760811.31
c6179,europa,kosovo,material de oficina,online,baja,44568,617944324,44596,2312,651.21,524.96,1505597.52,1213707.52
c4617,asia,bhutan,cosmeticos,offline,critica,44208,461794698,44218,4168,437.2,263.33,1822249.5999999999,1097559.44
c5754,centroamerica y caribe,cuba,ropa,offline,alta,44532,575428092,44540,815,109.28,35.84,89063.2,29209.600000000002
c5479,norteamerica,mexico,alimento infantil,online,media,44829,547955834,44843,1163,255.28,159.42,296890.64,185405.46
c9388,africa,cote d'ivoire,bebida,online,media,44013,938801753,44024,1156,47.45,31.79,54852.200000000004,36749.24
c1277,africa,nigeria,cereales,offline,alta,44275,127702176,44318,8767,205.7,117.11,1803371.9,1026703.37
c1647,australia y oceania,vanuatu,material de oficina,offline,alta,44303,164705932,44347,9000,651.21,524.96,5860890,4724640
c9201,africa,kuwait,verduras,offline,baja,43971,920174348,43981,8893,154.06,90.93,1370055.58,808640.4900000001
c5347,africa,namibia,carnicos,offline,media,44868,534781253,44895,2512,421.89,364.69,1059787.68,916101.28
c3695,africa,egypt,verduras,online,baja,44555,369512975,44597,5955,154.06,90.93,917427.3,541488.15
c9556,africa,swaziland,frutas,offline,critica,44392,955668342,44434,2354,9.33,6.92,21962.82,16289.68
c6448,centroamerica y caribe,antigua and barbuda,carnicos,offline,critica,44842,644858682,44869,6869,421.89,364.69,2897962.4099999997,2505055.61
c5590,asia,sri lanka,verduras,offline,alta,43905,559007823,43939,1692,154.06,90.93,260669.52,153853.56
c5403,europa,liechtenstein,bebida,offline,media,43905,540352094,43920,1047,47.45,31.79,49680.15,33284.13
c5014,africa,angola,material de oficina,online,critica,44701,501440322,44711,6189,651.21,524.96,4030338.6900000004,3248977.4400000004
c8751,asia,brunei,domestico,offline,critica,44212,875133836,44233,404,668.27,502.54,269981.08,203026.16
c3646,australia y oceania,samoa,ropa,offline,critica,44158,364606463,44198,4010,109.28,35.84,438212.8,143718.40000000002
